pop	clust1	clust2	clust3	clust4
half	0.1793	0.2127	0.3513	0.2567
half	0.0270	0.9308	0.0225	0.0197
half	0.1231	0.1754	0.5694	0.1321
half	0.1702	0.0398	0.5879	0.2021
half	0.3453	0.0447	0.0725	0.5375
half	0.0529	0.0375	0.8548	0.0548
half	0.2959	0.0476	0.1079	0.5486
half	0.0688	0.3418	0.4926	0.0969
half	0.3509	0.0290	0.4399	0.1803
half	0.1589	0.5396	0.1845	0.1170
half	0.1116	0.1364	0.3252	0.4268
half	0.6096	0.0544	0.2054	0.1306
half	0.1908	0.1294	0.1596	0.5202
half	0.1448	0.4099	0.1230	0.3223
half	0.1268	0.3495	0.3904	0.1334
half	0.2280	0.1811	0.1518	0.4390
half	0.3634	0.0745	0.3193	0.2428
half	0.4383	0.0270	0.0831	0.4516
half	0.4206	0.1247	0.0976	0.3570
half	0.4873	0.0343	0.2625	0.2160
half	0.4455	0.0448	0.0805	0.4292
half	0.1235	0.0970	0.5034	0.2762
half	0.6541	0.0489	0.1210	0.1760
half	0.2557	0.0295	0.1652	0.5496
half	0.0377	0.8824	0.0487	0.0311
half	0.2573	0.1468	0.2023	0.3936
half	0.2765	0.0807	0.4264	0.2164
half	0.2864	0.1621	0.0839	0.4676
half	0.3371	0.2998	0.1355	0.2276
half	0.2791	0.0516	0.2206	0.4486
half	0.2052	0.0807	0.4144	0.2996
half	0.4151	0.0693	0.1440	0.3717
half	0.3691	0.0221	0.3939	0.2149
half	0.4250	0.1420	0.1375	0.2955
half	0.2249	0.0259	0.4456	0.3037
half	0.1015	0.0751	0.3906	0.4328
half	0.2507	0.3517	0.2308	0.1668
half	0.2602	0.0627	0.3685	0.3086
half	0.2392	0.0940	0.3638	0.3029
half	0.0891	0.7629	0.0509	0.0971
half	0.3542	0.3202	0.2148	0.1109
half	0.3492	0.3125	0.0995	0.2388
half	0.5157	0.1719	0.0791	0.2333
half	0.5957	0.0486	0.0279	0.3278
half	0.0479	0.0395	0.8401	0.0725
half	0.1826	0.0292	0.5482	0.2400
half	0.2623	0.0446	0.4674	0.2256
half	0.3117	0.1123	0.2497	0.3263
half	0.3180	0.0530	0.1815	0.4475
half	0.2149	0.0898	0.4265	0.2688
half	0.3856	0.3413	0.1098	0.1633
half	0.2838	0.0456	0.5499	0.1206
half	0.4160	0.2143	0.0440	0.3257
half	0.1064	0.0781	0.6345	0.1810
half	0.2563	0.3542	0.2890	0.1005
half	0.1730	0.4013	0.1523	0.2734
half	0.2876	0.0734	0.0469	0.5921
half	0.2147	0.0370	0.1486	0.5997
half	0.6908	0.0528	0.0654	0.1911
half	0.6680	0.0345	0.1052	0.1923
half	0.4218	0.0587	0.1501	0.3694
half	0.1670	0.3110	0.3138	0.2082
half	0.1319	0.5873	0.1297	0.1512
half	0.0885	0.1852	0.5867	0.1395
half	0.5243	0.1998	0.1878	0.0881
half	0.6084	0.1961	0.0631	0.1325
half	0.3374	0.0426	0.3327	0.2873
half	0.1928	0.0305	0.6689	0.1078
half	0.3770	0.3382	0.0984	0.1865
half	0.8474	0.0300	0.0302	0.0924
half	0.2317	0.0914	0.4439	0.2330
half	0.2705	0.0251	0.4091	0.2953
half	0.1110	0.1583	0.5945	0.1362
half	0.2116	0.1081	0.0601	0.6202
half	0.3831	0.0810	0.3425	0.1933
half	0.3429	0.3332	0.2383	0.0856
half	0.5113	0.2627	0.0336	0.1924
half	0.1758	0.6179	0.1100	0.0964
half	0.1660	0.0411	0.2171	0.5758
half	0.2580	0.4994	0.1344	0.1081
half	0.0505	0.0451	0.8358	0.0686
half	0.1255	0.1910	0.2477	0.4358
half	0.2543	0.4351	0.1715	0.1391
half	0.2571	0.0594	0.2869	0.3966
half	0.2919	0.2999	0.0622	0.3459
half	0.3035	0.0537	0.1516	0.4911
half	0.6436	0.1244	0.1223	0.1098
half	0.2127	0.1056	0.0995	0.5822
half	0.4331	0.1107	0.0675	0.3887
half	0.1550	0.6143	0.0880	0.1426
